title,goals,movementcluster,time_period,country,location,location_desc,pcs,methods_1,methods_2,methods_3,methods_4,methods_5,methods_6,methods_addl,segment_length,leaders,partners,allies,social_elites,opponents,opp_nvresponses,campaigner_violence,repressive_violence,cluster,classification,group,groups_1,groups_2,groups_3,groups_4,groups_5,groups_6,success_goal,success_survival,success_growth,success_total,success_notes,url
"Duke students campaign against sweatshops, 1997-1999","To have Duke University adopt a code of conduct by which companies that manufactured Duke apparel and merchandise would have to abide.  This code of conduct aimed to eliminate the use of sweatshops by requiring companies to: (1) Have a minimum wage requirement for employment, (2) Set wages and benefits, (3) Provide a healthy and safe working environment for its workers, (4) Prohibit harassment, abuse, or forced labor, (5) Recognize employees’ rights to create a union, and (6) Participate in a compliance monitoring program.  Those companies that violated these standards would have their contracts terminated.",Student Anti-Sweatshop Labor Movement (1990s - 2010s),"September, 1997 to January, 1999",['United States'],"Durham, North Carolina",Duke University campus,['(Mainly or Initiated by) Student Participants'],"['002. Letters of opposition or support', '003. Declarations by organizations and institutions', '013. Deputations']","['003. Declarations by organizations and institutions', '013. Deputations']",,,,"['047. Assemblies of protest or support', '162. Sit-in']",,Approximately 3 months,"Tico Almeida, Benjamin Au, Students Against Sweatshops (SAS), United 
Students Against Sweatshops",Not known,"Union of Needletrades, Industrial, and Textiles Employees","Former Secretary of Labor Robert Reich (Duke Alum), International Labor Rights Fund worker Jon Rosenblum (Duke Alum)","Duke President Nan Keohane, Duke Administration",Not known,Not known,Not known,"['Economic Justice', 'Human Rights']",['Change'],['students'],"['Robert Reich', 'Jon Rosenblum']",,,,,,6 out of 6 points,1 out of 1 points,3 out of 3 points,10 out of 10 points,The student campaign was successful in achieving its goal of having the administration adopt a code of conduct that would eliminate the use of sweatshops in the companies that manufactured Duke apparel and merchandise.,https://nvdatabase.swarthmore.edu/content/duke-students-campaign-against-sweatshops-1997-1999
"Durham students sit-in for U.S. Civil Rights, 1960","Desegregation of Durham businesses, lunch counters, and public spaces.",U.S. Civil Rights Movement (1950s-1960s),"February 8, 1960 to February 16, 1960",['United States'],"Durham, North Carolina",,"['(Mainly or Initiated by) Student Participants', '(Mainly or Initiated by) People of Color', 'Local Community or Neighborhood-level Campaign']","[""071. Consumers' boycott"", '162. Sit-in']","[""071. Consumers' boycott"", '162. Sit-in']","[""071. Consumers' boycott"", '162. Sit-in']","[""071. Consumers' boycott"", '162. Sit-in']","[""071. Consumers' boycott"", '141. Civil disobedience of ""illegitimate"" laws', '162. Sit-in']","['001. Public speeches', ""071. Consumers' boycott"", '141. Civil disobedience of ""illegitimate"" laws', '162. Sit-in']",['048. Protest meetings'],Approximately 1.5 days,"CORE official Gordon Carey, North Carolina College (NCC) students","Attorney Floyd McKissick, Reverend Douglas Moore","Martin Luther King Jr., Ralph Abernathy, CORE, NAACP youth chapter, Durham’s black Ministerial Alliance, the Durham Committee on Negro Affairs",Durham Mayor Emmanuel Evans,Durham’s segregated businesses,"Refusing service, closing businesses",None known,None known.  There were some verbal attacks and throwing of food,['Human Rights'],['Change'],"['Students from North Carolina College and Duke University', 'Youth members of National Association for the Advancement of Colored People (NAACP) and Congress of Racial Equality (CORE)']",['North Carolina College and Duke University students'],"['Rev. Douglas Moore', 'Att. Floyd McKissick', 'CORE and NAACP']",,,"['Martin Luther King Jr', 'Ralph Abernathy']",['Durham Committee on Negro Affairs'],2 out of 6 points,1 out of 1 points,2 out of 3 points,5 out of 10 points,,https://nvdatabase.swarthmore.edu/content/durham-students-sit-us-civil-rights-1960
"Georgetown University students campaign against sweatshops, 1997-1999","To get Georgetown University to adopt a Code of Conduct on CLC outsourcing policies that included worker rights such as the right to organize, public disclosure of factory locations, independent monitoring reports, and living wage",Student Anti-Sweatshop Labor Movement (1990s - 2010s),"Fall, 1997 to October, 1999",['United States'],"Washington, D.C.",Georgetown University,['(Mainly or Initiated by) Student Participants'],"['001. Public speeches', '005. Declarations of indictment and intention', '008. Banners, posters, and displayed communications', '021. Delivering symbolic objects', '050. Teach-ins']",['002. Letters of opposition or support'],"['008. Banners, posters, and displayed communications', '009. Leaflets, pamphlets, and books', '010. Newspapers and journals', '072. Nonconsumption of boycotted goods']","['001. Public speeches', '006. Group or mass petitions', '008. Banners, posters, and displayed communications', '038. Marches']","['008. Banners, posters, and displayed communications', '048. Protest meetings', '050. Teach-ins', '162. Sit-in']",,,Approximately 4 months,"Laura McSpedon (campaign director of Georgetown Solidarity Committee - GSC)
Ben Smith (president of GSC)
Deborah Sabat (vice president of GSC)
Andrew Milmore (Chief Organizer of GSC)","National Consumer League (NCL)
Union of Needletrades Industrial and Textile Employees (UNITE)
United Students Against Sweatshops (USAS)",Student Labor Action Project (SLAP),President Bill Clinton,"The Collegiate Licensing Company (CLC)- a subcontractor which outsourced the production of collegiate apparel

Georgetown University Administration

Leo O’Donovan- President of Georgetown University",Not known,Not known,Not known,"['Economic Justice', 'Human Rights']",['Change'],['Students of Georgetown University'],"['Bill Clinton', 'UNITE']",,,['USAS'],,,6 out of 6 points,1 out of 1 points,3 out of 3 points,10 out of 10 points,,https://nvdatabase.swarthmore.edu/content/georgetown-university-students-campaign-against-sweatshops-1997-1999
"Greensboro, NC, students sit-in for U.S. Civil Rights, 1960","Desegregation of lunch counters in Greensboro, NC",U.S. Civil Rights Movement (1950s-1960s),"February 1, 1960 to July 25, 1960",['United States'],"Greensboro, North Carolina",Lunch counters,"['(Mainly or Initiated by) Student Participants', '(Mainly or Initiated by) People of Color']","['002. Letters of opposition or support', '009. Leaflets, pamphlets, and books', '016. Picketing', ""071. Consumers' boycott"", '162. Sit-in']","['002. Letters of opposition or support', '009. Leaflets, pamphlets, and books', '013. Deputations']","['016. Picketing', ""071. Consumers' boycott"", '162. Sit-in', '195. Seeking imprisonment']","['016. Picketing', ""071. Consumers' boycott""]","['016. Picketing', ""071. Consumers' boycott""]","['016. Picketing', ""071. Consumers' boycott""]","['002. Letters of opposition or support', '009. Leaflets, pamphlets, and books', '010. Newspapers and journals', '013. Deputations']",1 month,"The four initial students, Ezell Blair in particular.",Congress of Racial Equality (CORE),"NCA&T Administration, NAACP, Greensboro Record, Greensboro Daily News","Mayor formed a commission to study race relations, and the NCA&T administration tacitly supported its students","White Pro-segregationists, Store owners and managers, Ku Klux Klan","Counter sit-in (162): White students occupied lunch counter seats, only yielding them for white patrons.",None known,"Mostly intimidation tactics - there was very little, if any, actual violence.","['Economic Justice', 'Human Rights']",['Change'],['Predominantly African-American Students in Greensboro'],"['NCA&T students', 'Bennett College students', 'Woman’s College students']","['CORE', 'News media', 'Mayor’s committee on community relations']",,,,,6 out of 6 points,1 out of 1 points,3 out of 3 points,10 out of 10 points,"All goals were achieved, the organizing group survived, and the campaign grew from 4 students to hundreds with national attention",https://nvdatabase.swarthmore.edu/content/greensboro-nc-students-sit-us-civil-rights-1960
"Houston janitors campaign for economic justice, 2005-2006","Paid family health insurance, increased wages (to $8.50 an hour), full-time work, and better working conditions",,"April 30, 2005 to November 21, 2006",['United States'],"Houston, Texas",,"['(Mainly or Initiated by) People of Color', '(Mainly or Initiated by) Women']","['001. Public speeches', '038. Marches', '047. Assemblies of protest or support']",,,,,"['028. Symbolic sounds', '038. Marches', '047. Assemblies of protest or support', '105. Establishment strike', '162. Sit-in', '171. Nonviolent interjection']","['008. Banners, posters, and displayed communications', '010. Newspapers and journals', '011. Records, radio, and television', '016. Picketing']",Approximately 3 months,Justice for Janitors campaign by the Service Employee’s International Union (SEIU) led by SEIU Local president Stephen Lerner,Not known,"Sympathy protests from other janitors throughout the United States and even internationally, protesters (dubbed “freedom flyers”) from around the United States that came and protested with the Houston janitors.",United States Representative Sheila Jackson Lee as well as other Democratic congressional leaders.,Cleaning companies that employed the janitors,None known,None known,"At the end of the campaign, protestors blocked an intersection in Houston.  Their peaceful protest was met with violence at the hands of the Houston police.  As the janitors sat peacefully in the intersection, Houston police officers on horseback charged at them in an attempt to break apart the demonstration.  During this encounter, photographers captured images of protestors being trampled by the horseback police.  One of the protestors, an 83 year-old janitor from New York City, was hospitalized from the trampling.",['Economic Justice'],['Change'],"['Janitors from Houston', 'Mostly Latina women']",,,,,,,4 out of 6 points,1 out of 1 points,3 out of 3 points,8 out of 10 points,"The Justice for Janitors Campaign was able to gain increased wages, longer hours, paid holidays, vacation time, and health insurance. However, full-time work and fully paid health benefits were not part of the deal.

The campaign survived to see increased wages and improved working benefits for the Houston janitors.

The campaign began with disgruntled janitors in Houston; yet at the end of the campaign they had global support with protestors across the world picketing at the international headquarters of the companies with offices in Houston",https://nvdatabase.swarthmore.edu/content/houston-janitors-campaign-economic-justice-2005-2006
"Julia Butterfly Hill defends California redwoods, 1999","1. To protect Luna (the redwood tree in which the tree sit was held)
2. To slow down logging process in the immediate area
3. To raise broad based public awareness",,"December 10, 1997 to December 23, 1999",['United States'],"Stafford, Humboldt County, California",,,"['008. Banners, posters, and displayed communications', '010. Newspapers and journals', '011. Records, radio, and television', '033. Fraternization', '037. Singing', '158. Self-exposure to the elements', '159. The fast (fast of moral pressure, hunger strike, satyagrahic fast)', '162. Sit-in', '168. Nonviolent raids', '171. Nonviolent interjection']","['001. Public speeches', '010. Newspapers and journals', '011. Records, radio, and television', '013. Deputations', '158. Self-exposure to the elements', '162. Sit-in', '171. Nonviolent interjection']","['010. Newspapers and journals', '011. Records, radio, and television', '158. Self-exposure to the elements', '162. Sit-in', '171. Nonviolent interjection']","['010. Newspapers and journals', '011. Records, radio, and television', '013. Deputations', '158. Self-exposure to the elements', '162. Sit-in', '171. Nonviolent interjection']","['010. Newspapers and journals', '011. Records, radio, and television', '013. Deputations', '158. Self-exposure to the elements', '162. Sit-in', '171. Nonviolent interjection']","['010. Newspapers and journals', '011. Records, radio, and television', '158. Self-exposure to the elements', '162. Sit-in', '171. Nonviolent interjection']","['002. Letters of opposition or support', '009. Leaflets, pamphlets, and books', '047. Assemblies of protest or support']",Approximately 4 months (123 days),Julia Butterfly Hill,"Earth First!- direct action campaign started in 1980 to protect the redwoods of Humboldt County

Robert Parker- organizer who volunteered his services to handle press outreach and creating a cohesive media approach

Shakespeare- member of Earth First! who agreed to continue supplying Julia when Earth First! withdrew its support","EPIC-(Environmental Protection Information Center)

AIM- (American Indian Movement)

Veterans for Peace

United Steelworkers of America

DNH- (Dave’s Not Here)- organization created in honor of David “Gypsy” Chain, a member of Earth First! killed on an action

John Goodman- striking steelworker of Kaiser Aluminum 

David Foster-leader of United Steelworkers of America","Mikey Hart- member of the band the Grateful Dead
Woody Harrelson- American actor
Willie Nelson- American country western singer
Merle Haggard- American country western singer
Lacy J Dalton- American country western singer
Senator Tom Hayden 
Bonnie Raitt- American blues singer
Joan Baez- American folk singer","Pacific Lumber Company, owned by Maxxam Corporation
Charles Hurwitz- head of Maxxam Corp.
John Campbell- President of Pacific Lumber Company",President John Campbell arrived to negotiate with Julia carrying a gift of a six pack of Pepsi.,None known,Julia was subject to intimidation tactics such as helicopter fly-bys and the felling of trees dangerously close to her. In addition she experienced verbal abuse.,['Environment'],['Defense'],['Environmentalist'],"['Veterans for Peace', 'Robert Parker', 'Earth First', 'Shakespeare', 'Mikey Hart', 'Woody Harrelson', 'Willie Nelson', 'Merle Haggard', 'Lacy J Dalton', 'EPIC', 'AIM']",['Senator Tom Hayden'],"['United Steelworkers of America', 'DNH(Daves Not Here)', 'John Goodman', 'David Foster']","['Bonnie Raitt', 'Joan Baez']",,,6 out of 6 points,1 out of 1 points,3 out of 3 points,10 out of 10 points,"The President of Pacific Lumber agreed to the preservation of Luna, in addition to a 200 foot buffer zone. Also Julia’s 738-day tree sit earned massive media attention from sources such as the Los Angeles Times and CNN news network.

Julia chose to remain in the tree till December 23, 1999, five days after the final agreement was finalized. While conducting her tree sit Julia also laid the groundwork for her still active organization Circle of Life. 

Visible support for Julia’s tree sit grew to include cities and organizations across the United States and the world",https://nvdatabase.swarthmore.edu/content/julia-butterfly-hill-defends-california-redwoods-1999
"Lawrence, MA factory workers strike ""for Bread and Roses,""  U.S. 1912",Better wages and living conditions for factory workers,,"11 January, 1912 to 12 March, 1912",['United States'],"Lawrence, Massachusetts",,"['(Mainly or Initiated by) Women', 'An Example of Paradox of Repression', 'Local Community or Neighborhood-level Campaign']","['001. Public speeches', '007. Slogans, caricatures, and symbols', '008. Banners, posters, and displayed communications', '013. Deputations', '016. Picketing', '018. Displays of flags and symbolic colors', '031. ""Haunting"" officials', '038. Marches', '047. Assemblies of protest or support', '051. Walk-outs', '105. Establishment strike', '106. Industry strike']","['001. Public speeches', '007. Slogans, caricatures, and symbols', '008. Banners, posters, and displayed communications', '013. Deputations', '016. Picketing', '018. Displays of flags and symbolic colors', '031. ""Haunting"" officials', '038. Marches', '047. Assemblies of protest or support', '105. Establishment strike', '106. Industry strike']","['001. Public speeches', '007. Slogans, caricatures, and symbols', '008. Banners, posters, and displayed communications', '013. Deputations', '016. Picketing', '018. Displays of flags and symbolic colors', '031. ""Haunting"" officials', '038. Marches', '047. Assemblies of protest or support', '105. Establishment strike', '106. Industry strike']","['001. Public speeches', '007. Slogans, caricatures, and symbols', '008. Banners, posters, and displayed communications', '013. Deputations', '016. Picketing', '018. Displays of flags and symbolic colors', '031. ""Haunting"" officials', '038. Marches', '047. Assemblies of protest or support', '068. Sanctuary', '105. Establishment strike', '106. Industry strike']","['001. Public speeches', '007. Slogans, caricatures, and symbols', '008. Banners, posters, and displayed communications', '013. Deputations', '016. Picketing', '018. Displays of flags and symbolic colors', '031. ""Haunting"" officials', '038. Marches', '047. Assemblies of protest or support', '068. Sanctuary', '105. Establishment strike', '106. Industry strike']","['001. Public speeches', '007. Slogans, caricatures, and symbols', '008. Banners, posters, and displayed communications', '013. Deputations', '016. Picketing', '018. Displays of flags and symbolic colors', '031. ""Haunting"" officials', '038. Marches', '047. Assemblies of protest or support', '068. Sanctuary', '105. Establishment strike', '106. Industry strike']",['179. Alternative social institutions'],Approximately 10 days,International Workers of the World (IWW) leaders and Italian Socialist Federation (ISF) of the Socialist Party of America leaders,IWW and ISF,IWW members and supporters throughout the country,,Factory owners and local government,Not known,"Some campaigners threw ice chunks at factory windows, breaking them","Strong continuous militia presence, including beatings and arrests",['Economic Justice'],['Change'],['(Mostly Female Immigrant) Factory Workers'],"['IWW', 'ISF', 'UTW']",,,,,,6 out of 6 points,1 out of 1 points,3 out of 3 points,10 out of 10 points,,https://nvdatabase.swarthmore.edu/content/lawrence-ma-factory-workers-strike-bread-and-roses-us-1912
"Los Angleles Justice for Janitors campaign for economic justice at Century City, 1989-1990",Union contracts for all workers who cleaned the buildings of the Century City complex of Los Angeles,,"Summer, 1989 to June 25, 1990",['United States'],"Los Angeles, California",Century City office complex,"['(Mainly or Initiated by) People of Color', 'An Example of Paradox of Repression']",,,,,,"['007. Slogans, caricatures, and symbols', '008. Banners, posters, and displayed communications', '028. Symbolic sounds', '038. Marches', '047. Assemblies of protest or support', '105. Establishment strike']","['007. Slogans, caricatures, and symbols', '008. Banners, posters, and displayed communications', '016. Picketing', '047. Assemblies of protest or support', '178. Guerrilla theatre']",Approximately 2 months,Justice for Janitors campaign by Service Employee’s International Union (SEIU) and the Local 399,None known,None known,"After the June 15 police attack, the President of New York’s SEIU Local 32B-32J, Gus Benova, pressured the president of International Service Systems (ISS) (the cleaning contractor for most of the buildings in Century City, headquartered in New York) to recognize the LA union (which resulted in the contract being signed that day).",International Service Systems,None known,None known,"On June 15, 1990, striking janitors were holding a peaceful demonstration in Century City.  During this particular demonstration, the Los Angeles police brutally attacked the demonstrators, which resulted in several serious injuries including the injury of a pregnant demonstrator, causing a miscarriage.",['Economic Justice'],['Change'],"['Latino and African American janitors', 'members of local 399 of the SEIU']",,,,,,"['Gus Benova', 'president of New York’s Local 32B-32J']",6 out of 6 points,1 out of 1 points,3 out of 3 points,10 out of 10 points,The Justice for Janitors Campaign was able to increase wages by increasing the amount of union contracts signed by companies.,https://nvdatabase.swarthmore.edu/content/los-angleles-justice-janitors-campaign-economic-justice-century-city-1989-1990
"University of Miami janitors campaign for economic justice, 2005-2006","Paid health insurance, fair wages, and better working conditions",Student Living Wage Movement (late 1990s - mid 2000s),"Fall, 2005 to Summer, 2006",['United States'],"Miami, Florida",University of Miami,"['(Mainly or Initiated by) Student Participants', '(Mainly or Initiated by) People of Color', 'Included Participation by More Than One Social Class', 'Local Community or Neighborhood-level Campaign']","['006. Group or mass petitions', '009. Leaflets, pamphlets, and books', '047. Assemblies of protest or support', '048. Protest meetings']",,"['016. Picketing', '047. Assemblies of protest or support', '048. Protest meetings', '064. Withdrawal from social institutions', '097. Protest strike']","['013. Deputations', '016. Picketing', '018. Displays of flags and symbolic colors', '020. Prayer and worship', '034. Vigils', '047. Assemblies of protest or support', '064. Withdrawal from social institutions', '097. Protest strike', '162. Sit-in', '171. Nonviolent interjection']","['001. Public speeches', '047. Assemblies of protest or support', '159. The fast (fast of moral pressure, hunger strike, satyagrahic fast)']",['047. Assemblies of protest or support'],,Approximately 2 months,"Justice for Janitors campaign by Service Employee’s International Union (SEIU), SEIU Local 11 president Rob Schuler","South Florida Interfaith Worker Justice (SFIWJ), Students Toward a New Democracy (STAND)","numerous student activists from the University of Miami, as well as Harvard University and Georgetown University, United Students Against Sweatshops (USAS), University of Miami faculty, and members of the clergy.","National Labor Relations Board (NLRB), Charles Steele Jr., president and CEO of the Southern Christian Leadership Conference, politician John Edwards, James Hoffa Jr., and journalist Barbara Ehrenreich","University of Miami Administration, UNICCO Service Company",None known,None known,None known,['Economic Justice'],['Change'],"['Janitors from the University of Miami', 'mostly workers of Haitian and Cuban descent']","['South Florida Interfaith Worker Justice (SFIWJ)', 'Students Toward a New Democracy (STAND)', 'University of Miami faculty members']",,"['Members of the clergy', 'NLRB']","['Barbara Ehrenreich', 'Charles Steele Jr', 'John Edwards', 'James Hoffa Jr']",,,6 out of 6 points,1 out of 1 points,3 out of 3 points,10 out of 10 points,"The Justice for Janitors Campaign at the University of Miami was able to gain increased benefits for the janitors through a new contract. Wages were raised, health benefits were provided, and there was a more generous holiday plan.  The contract also increased hourly wages in each year of employment: $0.25 the first year, $0.40 the second year, and $0.50 the third and fourth years.  The health care plan of the contract involved the employer paying more than $250 a month per employee, leaving the employee only paying contributions of $13 a month.  The contract also provided one week of paid vacation, three paid personal days, and three additional paid holidays of Christmas Eve, New Year’s Eve, and the day after Thanksgiving each year.

The movement started with angry janitors at the University, but grew to include SEIU, student activists, professors, members of the clergy, South Florida Interfaith Worker Justice (SFIWJ), and Students Toward a New Democracy (STAND",https://nvdatabase.swarthmore.edu/content/university-miami-janitors-campaign-economic-justice-2005-2006
"Mills College students win divestment from South African apartheid government, 1984-1988",Mills College's total divestment from South Africa,South Africa Apartheid Divestment Movement (1970s-1980s),"November, 1984 to August, 1988",['United States'],"Oakland, California",Mills College,"['(Mainly or Initiated by) Student Participants', '(Mainly or Initiated by) Women']","['001. Public speeches', '002. Letters of opposition or support', '009. Leaflets, pamphlets, and books', '048. Protest meetings', '050. Teach-ins', '162. Sit-in']","['001. Public speeches', '002. Letters of opposition or support', '006. Group or mass petitions', '010. Newspapers and journals']","['001. Public speeches', '006. Group or mass petitions', '010. Newspapers and journals']","['001. Public speeches', '002. Letters of opposition or support', '006. Group or mass petitions', '016. Picketing', '047. Assemblies of protest or support', '050. Teach-ins']","['001. Public speeches', '002. Letters of opposition or support', '006. Group or mass petitions', '009. Leaflets, pamphlets, and books', '037. Singing', '050. Teach-ins']","['001. Public speeches', '002. Letters of opposition or support', '050. Teach-ins']",,Approximately 8 months,"Melissa Wallace, Katy Hickman, Pat Gillenwater were all leaders of the Mills Student Coalition for Divestment","Black Women’s Collective (BWC), International Relations Club (IRC), International Student Association,","City Councilman Carter Gilmore
Naomi Tutu-Seavers
Maki Mandela
Anti-apartheid student groups at UC Berkeley","Mayor Dianne Feinstein
Alice Walker","Mills College Administration, including the President of the College Mary Metz","In the spring of 1987 the administration changed its tactics, and although they still refused total divestment, they supported efforts of MSCD to hold educational events on South Africa",None known,None known,"['Democracy', 'Human Rights']",['Change'],['Students of Mills College'],"['Mills Student Coalition for Divestment (MSCD)', 'U.C. Berkeley antiapartheid movement', 'International Relations Club (IRC)', 'Black Women’s Collective (BWC)', 'International Student Association']",,,['Mayor Dianne Feinstein'],"['Alice Walker', 'City Councilman Carter Gilmore', 'Maki Mandela', 'Naomi Tutu-Seavers']",,6 out of 6 points,1 out of 1 points,2 out of 3 points,9 out of 10 points,"The Board of Trustees finally decided on August 17, 1990, to totally divest its portfolio from South Africa

1984- movement consisted of 20 women to October 1987- letter submitted to Board of Trustees signed by over 200 students urging total divestment",https://nvdatabase.swarthmore.edu/content/mills-college-students-win-divestment-south-african-apartheid-government-1984-1988
"MIT students campaign for divestment from apartheid South Africa, 1985-1991",The CAA’s goal was to convince MIT to divest from South Africa to pressure the South African government to end apartheid there.,South Africa Apartheid Divestment Movement (1970s-1980s),1985 to 1991,['United States'],"Boston, Massachusetts",MIT campus,['(Mainly or Initiated by) Student Participants'],"['001. Public speeches', '002. Letters of opposition or support', '003. Declarations by organizations and institutions', '004. Signed public statements', '005. Declarations of indictment and intention', '007. Slogans, caricatures, and symbols', '008. Banners, posters, and displayed communications', '009. Leaflets, pamphlets, and books', '010. Newspapers and journals', '011. Records, radio, and television', '015. Group lobbying', '016. Picketing', '038. Marches', '047. Assemblies of protest or support', '048. Protest meetings']",,,,,"['006. Group or mass petitions', '016. Picketing', '021. Delivering symbolic objects', '031. ""Haunting"" officials', '034. Vigils', '037. Singing', '137. Refusal of an assemblage or meeting to disperse', '171. Nonviolent interjection']",,Approximately 1 year,The MIT Coalition Against Apartheid (CAA),Not known,Not known,MIT Adjunct Professor of Urban Studies Melvin H. King,MIT President Paul E. Gray and the MIT Corporation (including Corporation Chairman David S. Saxon),Not known,Possible protester violence at rallies at MIT early April 1990,Possible police brutality at rallies at MIT early April 1990; many protesters were arrested at these rallies; a symbolic shanty was torn down,['Human Rights'],['Change'],['MIT students'],,,,,,,0 out of 6 points,1 out of 1 points,1 out of 3 points,2 out of 10 points,,https://nvdatabase.swarthmore.edu/content/mit-students-campaign-divestment-apartheid-south-africa-1985-1991
"Nisqually and Puyallup Native Americans win fishing rights through ""fish-ins"", 1964-1970",Protestors aimed to protect their fishing rights and to publicize their refusal to culturally assimilate to the broader American society.,,"27 February, 1964 to 1970",['United States'],"Olympia, Washington",Frank’s Landing—a small settlement on the Nisqually River in Puget Sound,"['(Mainly or Initiated by) Indigenous Participants', 'An Example of Paradox of Repression', 'Included Participation by More Than One Social Class']","['001. Public speeches', '009. Leaflets, pamphlets, and books', '010. Newspapers and journals', '011. Records, radio, and television', '038. Marches', '047. Assemblies of protest or support', '141. Civil disobedience of ""illegitimate"" laws']","['001. Public speeches', '009. Leaflets, pamphlets, and books', '010. Newspapers and journals', '011. Records, radio, and television', '047. Assemblies of protest or support', '141. Civil disobedience of ""illegitimate"" laws']","['001. Public speeches', '009. Leaflets, pamphlets, and books', '010. Newspapers and journals', '011. Records, radio, and television', '047. Assemblies of protest or support', '141. Civil disobedience of ""illegitimate"" laws']","['001. Public speeches', '009. Leaflets, pamphlets, and books', '010. Newspapers and journals', '011. Records, radio, and television', '047. Assemblies of protest or support', '141. Civil disobedience of ""illegitimate"" laws']","['009. Leaflets, pamphlets, and books', '010. Newspapers and journals', '011. Records, radio, and television', '047. Assemblies of protest or support', '141. Civil disobedience of ""illegitimate"" laws']","['009. Leaflets, pamphlets, and books', '010. Newspapers and journals', '011. Records, radio, and television', '047. Assemblies of protest or support', '141. Civil disobedience of ""illegitimate"" laws']","['162. Sit-in', '184. Defiance of blockades']",Approximately 1 year,"The campaign was led by the Survival of the American Indian Society (SAIA) and the National Indian Youth Council (NIYC). Leaders of the SAIA included Al and Maiselle Bridges, Billy Frank Sr. and Billy Frank Jr., and Donald and Janet McCloud. Hank Adams, of the NIYC, also played an important leadership role.","National Association for the Advancement of Colored People (NAACP)
Jack Tanner—an attorney for the NAACP","Marlon Brando
John Yaryan—Episcopal Minister from San Francisco
Episcopal Bishop of the Diocese of Olympia
American Civil Liberties Union (ACLU)
Dick Gregory
Washington Peace and Freedom Party
Socialist Workers’ Party
Students for a Democratic Society (SDS)
American Friends Service Committee","Marlon Brando
John Yaryan—Episcopal Minister from San Francisco
Episcopal Bishop of the Diocese of Olympia
Dick Gregory","Washington State Government—the State Fisheries and Game Departments
Washington State Sportsmen Club (WSSC)",Members of the Washington State Sportsmen Club staged counter-protest sit-ins down the river from the protestors.,"Protestors engaged in fights with police officers, also, some protesters carried rifles for defense","Police Brutality (clubbing with batons, beatings)","['Economic Justice', 'Human Rights']",['Defense'],"['Members of the Nisqually and Puyallup tribes in the Pacific Northwest', 'partner civil rights activist groups']","['NAACP', 'Jack Tanner', 'Marlon Brando', 'John Yaryan', 'Episcopal Bishop of the Diocese of Olympia', 'ACLU']","['Dick Gregory', 'American Friends Service Committee']",,"['Washington Peace and Freedom Party', 'Socialist Workers’ Party', 'SDS']",,,6 out of 6 points,1 out of 1 points,3 out of 3 points,10 out of 10 points,,https://nvdatabase.swarthmore.edu/content/nisqually-and-puyallup-native-americans-win-fishing-rights-through-fish-ins-1964-1970
"New Orleans citizens boycott for U.S. civil rights, 1960-61",To end employment discrimination and segregation in Dryades Street stores and Greater New Orleans,U.S. Civil Rights Movement (1950s-1960s),"April, 1960 to late, 1961",['United States'],"New Orleans, Louisiana",Stores and lunch counters on Dryades and Canal Street,"['(Mainly or Initiated by) Student Participants', '(Mainly or Initiated by) People of Color', 'Local Community or Neighborhood-level Campaign']","['009. Leaflets, pamphlets, and books', '016. Picketing', '063. Social disobedience', ""071. Consumers' boycott""]","['009. Leaflets, pamphlets, and books', '016. Picketing', '047. Assemblies of protest or support', '048. Protest meetings', '063. Social disobedience', ""071. Consumers' boycott"", '141. Civil disobedience of ""illegitimate"" laws', '162. Sit-in']","[""071. Consumers' boycott""]","[""071. Consumers' boycott""]","[""071. Consumers' boycott""]","[""071. Consumers' boycott""]",,Approximately 3 months 10 days,"Rev. Avery Alexander, Rev. A.L. Davis (Southern Christian Leadership Conference), and Dr. Henry Mitchell (NAACP);  Consumers' League (CLGNO)","Lawyers Lolis Elie, Nils Douglas, Robert Collins, and Ernest ""Dutch"" Morial; former XULA student body President Rudy Lombard, Oretha Castle from SUNO, Jerome Smith formerly of Southern University in Baton Rouge, and Hugh Murray a white student from Tulane; CORE","Raphael Cassimire, NAACP Youth Council, lawyer John P. Nelson",Not known,"New Orleans' white storeowners, Louisiana State Government",Not known,Not known,"Angry white citizens taunted, abused, and attacked demonstrators, beating them, scalding them with hot coffee, and throwing acid on them","['Economic Justice', 'Human Rights', 'National-Ethnic Identity']",['Change'],"['white student allies', 'students', ""Consumers' League of Greater New Orleans (CLGNO)"", 'Congress of Racial Equality (CORE)', 'doctors', 'black clergy']","[""Consumers' League of Greater New Orleans (CLGNO)""]",['Congress of Racial Equality (CORE)'],['NAACP Youth Council'],,,,4 out of 6 points,1 out of 1 points,2 out of 3 points,7 out of 10 points,"The community energy of resistance initiated by the Consumer's League, and subsequently CORE, inspired and organized the black community of New Orleans so that the city could benefit from the synergy of the national Civil Rights Movement. While the Dryades and Canal street protests had notable short-term victories, its difficult to assess the success in the longer term, since racial employee discrimination exists into the 21st century in New Orleans to some degree. 

Both the Consumer's League and CORE seemed at times to be strained, but their efforts and purpose were furthered by others who maintained pressure on New Orleans storeowners, including students, lawyers and the NAACP Youth Council",https://nvdatabase.swarthmore.edu/content/new-orleans-citizens-boycott-us-civil-rights-1960-61
